,match_id,match_venue,match_innings,batting_team,bowling_team,boundry_runs,wickets fallen,run_rate,total_score,Stadium_Category
974,829771.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,8.0,2.0,10.333333333333334,62.0,High scoring
975,829773.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Chennai Super Kings,13.0,0.0,12.666666666666666,76.0,High scoring
976,829773.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Chennai Super Kings,Sunrisers Hyderabad,10.0,2.0,9.0,54.0,High scoring
977,829775.0,"Punjab Cricket Association Stadium, Mohali",1.0,Mumbai Indians,Kings XI Punjab,8.0,0.0,8.5,51.0,Medium scoring
978,829775.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Mumbai Indians,5.0,2.0,7.5,45.0,Medium scoring
979,829777.0,Brabourne Stadium,1.0,Rajasthan Royals,Delhi Daredevils,6.0,0.0,7.166666666666667,43.0,Medium scoring
980,829777.0,Brabourne Stadium,2.0,Delhi Daredevils,Rajasthan Royals,10.0,2.0,9.166666666666666,55.0,High scoring
981,829779.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Royal Challengers Bangalore,6.0,2.0,6.166666666666667,37.0,Low scoring
982,829779.0,"MA Chidambaram Stadium, Chepauk",2.0,Royal Challengers Bangalore,Chennai Super Kings,8.0,3.0,7.0,42.0,Medium scoring
983,829781.0,Eden Gardens,1.0,Kolkata Knight Riders,Sunrisers Hyderabad,8.0,0.0,9.166666666666666,55.0,High scoring
984,829781.0,Eden Gardens,2.0,Sunrisers Hyderabad,Kolkata Knight Riders,5.0,3.0,5.5,33.0,Low scoring
985,829783.0,Wankhede Stadium,1.0,Delhi Daredevils,Mumbai Indians,7.0,2.0,7.333333333333333,44.0,Medium scoring
986,829783.0,Wankhede Stadium,2.0,Mumbai Indians,Delhi Daredevils,5.0,4.0,6.833333333333333,41.0,Medium scoring
987,829785.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Kings XI Punjab,11.0,0.0,11.0,66.0,High scoring
988,829785.0,M Chinnaswamy Stadium,2.0,Kings XI Punjab,Royal Challengers Bangalore,3.0,5.0,5.666666666666667,34.0,Low scoring
989,829787.0,Brabourne Stadium,1.0,Sunrisers Hyderabad,Rajasthan Royals,9.0,1.0,9.333333333333334,56.0,High scoring
990,829787.0,Brabourne Stadium,2.0,Rajasthan Royals,Sunrisers Hyderabad,8.0,2.0,6.0,36.0,Low scoring
991,829761.0,Eden Gardens,1.0,Kolkata Knight Riders,Delhi Daredevils,8.0,1.0,8.333333333333334,50.0,Medium scoring
992,829761.0,Eden Gardens,2.0,Delhi Daredevils,Kolkata Knight Riders,5.0,0.0,6.0,36.0,Low scoring
993,829789.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Mumbai Indians,7.0,1.0,7.333333333333333,44.0,Medium scoring
994,829789.0,"MA Chidambaram Stadium, Chepauk",2.0,Mumbai Indians,Chennai Super Kings,9.0,0.0,10.166666666666666,61.0,High scoring
995,829791.0,Eden Gardens,1.0,Kings XI Punjab,Kolkata Knight Riders,7.0,1.0,7.5,45.0,Medium scoring
996,829791.0,Eden Gardens,2.0,Kolkata Knight Riders,Kings XI Punjab,11.0,1.0,9.5,57.0,High scoring
997,829793.0,Shaheed Veer Narayan Singh International Stadium,1.0,Sunrisers Hyderabad,Delhi Daredevils,4.0,2.0,6.166666666666667,37.0,Low scoring
998,829793.0,Shaheed Veer Narayan Singh International Stadium,2.0,Delhi Daredevils,Sunrisers Hyderabad,9.0,1.0,8.166666666666666,49.0,Medium scoring
999,829795.0,Wankhede Stadium,1.0,Royal Challengers Bangalore,Mumbai Indians,6.0,1.0,6.5,39.0,Medium scoring
1000,829795.0,Wankhede Stadium,2.0,Mumbai Indians,Royal Challengers Bangalore,6.0,1.0,7.5,45.0,Medium scoring
1001,829797.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Rajasthan Royals,5.0,2.0,6.0,36.0,Low scoring
1002,829797.0,"MA Chidambaram Stadium, Chepauk",2.0,Rajasthan Royals,Chennai Super Kings,5.0,1.0,6.666666666666667,40.0,Medium scoring
1003,829799.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Kings XI Punjab,9.0,0.0,9.333333333333334,56.0,High scoring
1004,829799.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Kings XI Punjab,Sunrisers Hyderabad,8.0,1.0,7.833333333333333,47.0,Medium scoring
1005,829801.0,Shaheed Veer Narayan Singh International Stadium,1.0,Chennai Super Kings,Delhi Daredevils,2.0,1.0,2.6666666666666665,16.0,Low scoring
1006,829801.0,Shaheed Veer Narayan Singh International Stadium,2.0,Delhi Daredevils,Chennai Super Kings,5.0,2.0,4.666666666666667,28.0,Low scoring
1007,829803.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Royal Challengers Bangalore,10.0,4.0,11.833333333333334,71.0,High scoring
1008,829803.0,"Punjab Cricket Association Stadium, Mohali",2.0,Royal Challengers Bangalore,Kings XI Punjab,7.0,2.0,10.166666666666666,61.0,High scoring
1009,829805.0,Wankhede Stadium,1.0,Mumbai Indians,Kolkata Knight Riders,6.0,2.0,7.166666666666667,43.0,Medium scoring
1010,829805.0,Wankhede Stadium,2.0,Kolkata Knight Riders,Mumbai Indians,7.0,2.0,7.666666666666667,46.0,Medium scoring
1011,829807.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,7.0,1.0,10.166666666666666,61.0,High scoring
1012,829809.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Chennai Super Kings,19.0,7.0,20.666666666666668,124.0,High scoring
1013,829809.0,"Punjab Cricket Association Stadium, Mohali",2.0,Chennai Super Kings,Kings XI Punjab,6.0,2.0,7.666666666666667,46.0,Medium scoring
1014,829811.0,Brabourne Stadium,1.0,Rajasthan Royals,Kolkata Knight Riders,9.0,0.0,11.0,66.0,High scoring
1015,829811.0,Brabourne Stadium,2.0,Kolkata Knight Riders,Rajasthan Royals,6.0,2.0,8.5,51.0,Medium scoring
